company,funding_stage,platform_source,role_title,location,compensation,key_skills_match,job_url,status,priority,notes
Ressl AI,YC W24 (Seed),Y Combinator (Work at a Startup),Founding AI Engineer,Bengaluru / Remote (India),₹25L – ₹45L + Equity,"Autonomous Agent Runtimes, Multi-Agent Systems, ReAct Loops, Evaluation Control Planes",https://www.workatastartup.com/companies/ressl-ai,Target,P0 (High),"Direct match for Agentic AI, LangGraph, Tool RAG, and Prompt Lab evaluation"
Optifye.ai,YC S23 (Seed),Y Combinator (Work at a Startup),Founding AI/ML Engineer,Gurugram / Delhi NCR (Hybrid/Remote),₹24L – ₹48L + 0.30% Equity,"LLM Fine-Tuning, Model Training, RAG Pipelines, Model Evaluation Systems",https://www.workatastartup.com/companies/optifye-ai,Target,P0 (High),Direct match for Qwen2.5/TinyStories training and hierarchical RAG
Bolna AI,YC W24 (Seed),Y Combinator (Work at a Startup),AI Systems Engineer (Voice & ASR),Bengaluru / Remote,₹22L – ₹40L,"Voice AI Infrastructure, Indic ASR, NeMo RNN-T, CTC Decoding, DSP (STFT/Mel)",https://bolna.ai/,Target,P0 (High),"Direct match for Healthray Indic speech recognition, WebSocket streaming, and NeMo"
Vela,YC S24 (Seed),Y Combinator (Work at a Startup),Founding AI Engineer,Bengaluru / Remote,₹20L – ₹60L + Equity,"Agentic Coordination, Multi-Agent Execution, LLM Gateways, Low-Latency Tool Dispatch",https://www.workatastartup.com/companies/vela,Target,P1,Direct match for 1M+ user scale ReAct capability contract layer (3x overhead cut)
RedBrick AI,YC W22 (Seed .6M),Y Combinator (Work at a Startup),ML / AI Infrastructure Engineer,Bengaluru / Hybrid,₹22L – ₹38L,"Healthcare AI Infrastructure, Clinical Data Ingestion, Model Serving, Python",https://redbrickai.com/,Target,P1,Direct match for Healthray 116K+ clinical summarization and data pipelines
Boock.ai,Seed Funded,Wellfound (AngelList),Founding Agentic AI Engineer,Remote (India),₹25L – ₹42L + Equity,"Agentic RAG, LangGraph, Tool RAG, pgvector, Automated Test Harnesses",https://wellfound.com/company/boock-ai/jobs,Target,P0 (High),"Direct match for LangChain/LangGraph, MCP Tool Routing, and PostgreSQL/pgvector"
ProdE AI,Venture Backed,Wellfound (AngelList),Applied AI / LLM Engineer,Remote (India),₹25L – ₹40L,"Enterprise Copilots, Tool Routing, ReAct Loops, Token Optimization, FastAPI, PostgreSQL",https://wellfound.com/company/prode-ai/jobs,Target,P1,Direct match for single ReAct loop capability contracts and 70% token savings
Maxim AI,Series Seed,Wellfound (AngelList),AI Platform / Evaluation Engineer,Bengaluru,₹22L – ₹35L,"LLM Observability, Evaluation Platform, LLM-as-a-Judge, RLHF Datasets",https://wellfound.com/company/maxim-ai/jobs,Target,P0 (High),Direct match for Prompt Lab evaluation control plane and LLM-as-a-Judge benchmarking
orqum.ai,Venture Backed,Wellfound (AngelList),AI/ML Engineer (Agent Workflows),Bengaluru / Remote,₹20L – ₹35L,"Autonomous Agents, Context Graphs, LangChain, LangGraph, MCP Servers, Vector Search",https://wellfound.com/company/orqum-ai/jobs,Target,P1,"Direct match for MCP server development, Spring AI, and vector retrieval"
Sarvam AI,"Series A ( - Lightspeed, Peak XV)",Venture Direct (Sovereign AI),Applied AI Engineer / FDE,Bengaluru,₹28L – ₹50L + Equity,"Indic LLMs, Sovereign AI Stack, Voice AI, NeMo RNN-T/CTC, RAG",https://sarvam.ai/,Target,P0 (High),Direct match for Indic speech models (Whisper/NeMo) and open-weight model training
Ema Unlimited,"Series A ( - Accel, Section 32)",Venture Direct (Enterprise Agents),Senior AI Systems / Agent Engineer,Bengaluru / Remote,₹30L – ₹55L + Equity,"Universal AI Employee, Enterprise Agentic AI, Multi-Agent Systems, LangGraph, Guardrails",https://www.ema.co/careers,Target,P0 (High),Direct match for enterprise agentic platforms serving 1M+ active ERP users
DevRev,Series A (+ - Khosla Ventures),Venture Direct (AgentOS),Applied AI Engineer,Bengaluru / Hybrid,₹28L – ₹50L,"AgentOS, Knowledge Graphs, ReAct Loops, Tool Routing, Vector Search",https://devrev.ai/careers,Target,P0 (High),Direct match for high-scale agent orchestration and tool retrieval
Portkey.ai,YC W23 (Seed  - Lightspeed),Y Combinator / Venture Direct,Founding / Fullstack AI Engineer,Bengaluru / Remote,₹25L – ₹45L + Equity,"AI Gateway, Tool RAG, Prompt Caching, Reasoning Metadata Propagation, Latency Control",https://portkey.ai/careers,Target,P0 (High),Direct match for Spring AI reasoningContent PR #5711 and prompt-caching TTL support
TrueFoundry,YC W21 (Seed .2M - Sequoia Surge),Y Combinator / Venture Direct,Forward Deployed AI Engineer / ML Platform,Bengaluru / Remote,₹25L – ₹42L,"LLMOps, Model Deployment, Vector DBs, Evaluation Harnesses, MCP",https://www.truefoundry.com/careers,Target,P1,"Direct match for MCP frameworks, model serving, and evaluation control planes"
