job_id,position,department,location,experience_band_ignored,major_skills_required,tech_stack,candidate_match_score,direct_career_url,notes
SAS-PUNE-01,Data Scientist,Applied AI & Modeling (AAIM) / R&D,"Pune, Maharashtra, India",3-7 Years,"Python, Agentic AI frameworks, LLM orchestration, Tool-calling, RAG, Multi-agent systems, API integration, Statistics, Experimental design, SAS","Python, LangGraph, LangChain, RAG, Multi-Agent Systems, REST APIs, PyTorch, Statistics",99% (P0 Target),https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,"Direct 100% match for candidate multi-agent platform, Tool RAG, ReAct loop contracts, and evaluation control planes"
SAS-PUNE-02,C/C++ Developer (AI/NLP & Agentic Systems),Core Analytics & NLP R&D,"Pune, Maharashtra, India",6-15 Years,"C/C++, Python API, Transformer-based models (BERT, GPT, T5, LLaMA), PyTorch, TensorFlow, Hugging Face, spaCy, NLP (classification, text clustering, entity extraction, sentiment analysis), Deep Learning, LLM and Agentic AI","C/C++, Python, PyTorch, Hugging Face, LLaMA, Transformers, CUDA, spaCy",95% (P0 Target),https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,"Direct match for ~85M Transformer training, Triton/CUDA kernels, Llama 3 quantization, and spaCy NER pipelines"
SAS-PUNE-03,Java Developer (Microservices & Cloud),Platform Engineering,"Pune, Maharashtra, India",2-5 Years,"Java, Spring, Spring Boot, Microservices, REST APIs","Java, Spring Boot, Spring, Microservices, REST APIs",92% (High Match),https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,"Direct match for Spring Boot, Spring AI contributor background, and Java agent harness architecture"
SAS-PUNE-04,Fullstack Developer (Java & Mid-Tier Services),Enterprise Analytics Software,"Pune, Maharashtra, India",3-5 Years,"Development of mid-tier services, REST APIs, Java ecosystem, OOPs, Design Patterns, SOLID principles, Java, Spring MVC, Spring Boot, Hibernate, SQL with Postgres, Oracle","Java, Spring Boot, Spring MVC, Hibernate, PostgreSQL, REST APIs, SOLID",90% (High Match),https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,"Direct match for Java, Spring Boot backend, and PostgreSQL database engineering"
SAS-PUNE-05,SDET (Software Development Engineer in Test),Quality Engineering & CI/CD,"Pune, Maharashtra, India",2-5 Years,"CI/CD pipeline and tools (Git, Gerrit, Jenkins, GitHub), Python, Programming and debugging skills, Software architecture and testing principles","Python, CI/CD, Git, GitHub, Jenkins, Automated Testing, Linux",88% (Good Match),https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,"Direct match for Python scripting, CI/CD pipelines, Docker, and Prompt Lab automated testing"
SAS-PUNE-06,Golang Developer,Cloud-Native Platform R&D,"Pune, Maharashtra, India",2-4 Years,"Go Language, RESTful APIs development, micro service architecture, Docker and Kubernetes","Golang, REST APIs, Microservices, Docker, Kubernetes",82% (Good Match),https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,Match for backend microservice architecture and Docker/Kubernetes container orchestration
SAS-PUNE-07,Fullstack Developer (Golang & Cloud),Visual Machine Learning (VML) / Viya,"Pune, Maharashtra, India",5-8 Years,"Golang, React, JavaScript, TypeScript, REST APIs, OOPs, AWS/GCP exposure, Docker, Kubernetes, CI/CD","Golang, React, TypeScript, AWS, GCP, Docker, Kubernetes, CI/CD",80% (Good Match),https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,Visual Machine Learning product team building analytical web services
SAS-PUNE-08,Fullstack Developer (Golang & Web Services),Visual Text Analytics (VTA),"Pune, Maharashtra, India",4-6 Years,"Golang, REST service development, JavaScript, HTML, CSS","Golang, REST APIs, JavaScript, HTML, CSS",75%,https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,REST service development and UI integration
SAS-PUNE-09,Java Developer (Mid-Tier & Backend Services),Enterprise Services,"Pune, Maharashtra, India",6-8 Years,"Core Java, AWT and Swing, design and development of mid-tier services, REST APIs, Design patterns, Gradle, Jenkins, Unix/LAX","Java, REST APIs, Design Patterns, Gradle, Jenkins, Linux",85%,https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,"Core Java architecture, build pipelines, and Linux environment"
SAS-PUNE-10,Java Developer (Enterprise Security & Frameworks),Security & Architecture,"Pune, Maharashtra, India",6-10 Years,"Java, Spring MVC, Spring Boot, Hibernate, Groovy, SQL with Postgres/Oracle, OOPs, Design Patterns, SOLID, Ant, Maven, Security concepts, Snyk, Blackduck","Java, Spring Boot, Hibernate, Postgres, Maven, AppSec (Snyk/Blackduck)",85%,https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,Spring Boot backend development with application security principles
SAS-PUNE-11,Fullstack Developer (Java / Full-Stack),SAS Viya Product Development,"Pune, Maharashtra, India",8-11 Years,"Core Java, AWT and Swing, Spring Boot, Hibernate, SQL, Spring, Design patterns, Gradle, Jenkins, JavaScript, REST APIs, Linux","Java, Spring Boot, JavaScript, SQL, REST APIs, Linux",80%,https://globalcareers-sas.icims.com/jobs/search?ss=1&searchRelation=keyword_all&searchLocation=13228--Pune,Fullstack enterprise software development
