company,company_type,industry,role_title,location,exp_total_yrs,exp_ai_yrs,difficulty,difficulty_reason,key_skills,ats_system,interview_rounds,comp_lpa_range,remote_policy,job_url,status,your_match_pct,priority,date_added,notes
Deutsche Bank,Bank/GCC,Finance,AI Engineer Associate,Pune,1-4,0.5-2,2-Medium,Associate band; structured but achievable; GCP gap minor,"RAG, LangGraph, FastAPI, Python, GCP/Vertex AI",Workday,4-5,18-30 LPA,Hybrid,https://db.wd3.myworkdayjobs.com/DBWebsite,Unknown,85%,High,2026-08-19,Best current fit; apply ASAP when open
Barclays,Bank/GCC,Finance,AI Engineer,Pune,2-5,1-2,3-Hard,Regulated env; 5 rounds; compliance-heavy,"Python, LangChain, LLM safety, RAG, Azure",Greenhouse,5,20-35 LPA,Hybrid,https://search.jobs.barclays/,Open,95%,High,2026-08-14,Resume already built and ATS-verified at 95%+
VOIS Vodafone,GCC/Telecom,Telecommunications,AI Platform Engineer,Pune,2-5,1-2,3-Hard,Telco domain; structured GCC process,"GenAI, RAG, CI/CD, Python, GDPR/privacy",Custom,4-5,18-28 LPA,Hybrid,https://careers.vodafone.com/,Open,100%,High,2026-08-14,Resume built; 100% ATS match verified
Sprinklr,Product,Enterprise CX/SaaS,AI/ML Engineer,Bengaluru/Remote,1-3,1-2,2-Medium,Mid-level product culture; good OSS appreciation,"LangChain, RAG, Python, multi-agent, NLP",Greenhouse,4,20-35 LPA,Hybrid,https://www.sprinklr.com/careers/,Unknown,85%,High,2026-08-19,Loves production experience
Freshworks,Product,CRM/SaaS,AI/ML Engineer,Bengaluru,2-4,1-2,2-Medium,Fast product culture; strong eng DNA,"Python, LLM integration, RAG, FastAPI, product sense",Greenhouse,4,18-32 LPA,Hybrid,https://www.freshworks.com/company/careers/,Unknown,80%,High,2026-08-19,Good fit; apply when role opens
Krutrim (Ola AI),Startup,AI/Consumer,AI Engineer,Bengaluru,1-3,0.5-2,2-Medium,Early-stage; low exp bar; scrappy high-growth culture,"Python, LLM, RAG, multi-agent, fast delivery",Custom,3-4,20-40 LPA,Hybrid,https://www.krutrim.com/careers,Unknown,80%,High,2026-08-19,High risk high reward; early equity
Yellow.ai,Startup/Product,Conversational AI,AI Engineer,Bengaluru,1-3,1-2,2-Medium,ConvAI-focused; good agentic match,"Agentic AI, NLP, Python, LangChain, enterprise integrations",Custom,3-4,18-28 LPA,Hybrid,https://yellow.ai/careers/,Unknown,80%,High,2026-08-19,Good domain overlap with ERP agent work
SAP Labs India,GCC,Enterprise Software,AI/ML Engineer,Bengaluru,2-5,1-3,3-Hard,Large structured org; ERP domain match; technical bar high,"Python, GenAI, SAP BTP, LLM integration, RAG",Workday,5,22-40 LPA,Hybrid,https://jobs.sap.com/,Unknown,90%,High,2026-08-19,SAP + AI + ERP = perfect domain match; very high priority
Razorpay,Product,FinTech,AI Engineer,Bengaluru,2-4,1-2,2-Medium,Fast fintech product culture; AI infra focus,"Python, LangChain, RAG, FastAPI, payments domain",Lever,4,22-40 LPA,Hybrid,https://razorpay.com/jobs/,Unknown,75%,Medium,2026-08-19,Strong engineering culture; finance AI use case
Swiggy,Product,Food/Logistics,AI/ML Engineer,Bengaluru,2-4,1-2,2-Medium,Large-scale ML; delivery optimization + GenAI push,"Python, ML, RAG, recommendation systems, LangChain",Lever,4,20-38 LPA,Hybrid,https://careers.swiggy.com/,Unknown,65%,Medium,2026-08-19,Less agentic focus; more classic ML; partial match
Flipkart,Product,E-Commerce,AI Engineer,Bengaluru,2-5,1-3,3-Hard,Walmart-backed; very large scale; competitive bar,"Python, GenAI, recommendation, LLM, search",Workday,5,25-50 LPA,Hybrid,https://www.flipkartcareers.com/,Unknown,65%,Low,2026-08-19,E-commerce ML focus; not ideal match for agentic profile
Meesho,Product,E-Commerce,AI/ML Engineer,Bengaluru,1-3,0.5-2,2-Medium,Startup culture; scaling fast; GenAI push,"Python, LLM, NLP, RAG, recommendation",Custom,4,18-32 LPA,Hybrid,https://meesho.io/jobs,Unknown,65%,Low,2026-08-19,Good culture fit but ecommerce domain mismatch
Sarvam AI,Research Lab/Startup,AI Research,AI Engineer,Bengaluru,1-3,1-2,3-Hard,Small elite team; very high bar; research-forward,"LLMs, model training, Python, deep learning, research",Custom,4-5,25-50 LPA,Hybrid,https://www.sarvam.ai/careers,Unknown,65%,Medium,2026-08-19,Indian LLM lab; research exposure helps; strong brand
Gnani.ai,Startup,Conversational AI,AI Engineer,Bengaluru,1-3,1-2,2-Medium,Voice AI focus; agentic workflows; India-first,"ASR, LLM, RAG, Python, voice pipelines",Custom,3-4,15-28 LPA,Hybrid,https://gnani.ai/careers/,Unknown,70%,Medium,2026-08-19,Voice + agent focus; good domain fit
