company,role_title,location,status,date_applied,resume_used,cover_letter_used,job_url,notes
Ascendion,GenAI Engineer,"Pune, Maharashtra",Applied,2026-09-02,Ascendion/cv-yash-rawal-ascendion-2026-09-02.pdf,Ascendion/cover-yash-rawal-ascendion-2026-09-02.pdf,https://jobs.ascendion.com/careers/job/1970324837507805?domain=ascendion.com,"AI-Native engineering company; Eightfold ATS; Agentic AI, RAG, and Model Evaluation"
Mastercard,AI Engineer (GBSC Analytics & Automation),"Pune, India",Applied,2026-09-01,Mastercard/cv-yash-rawal-mastercard-2026-09-01.pdf,Mastercard/cover-yash-rawal-mastercard-2026-09-01.pdf,https://careers.mastercard.com/us/en/job/MASRUSR279646EXTERNALENUS/AI-Engineer?source=LINKEDIN,"Dream company target; GBSC Analytics & Automation team; LangChain/LangGraph, RAG & Responsible AI"
American Express,Staff AI Engineer - Servicing Enablement Platform,Bengaluru / Chennai,Applied,2026-09-01,American_Express/cv-yash-rawal-amex-2026-09-01.pdf,American_Express/cover-yash-rawal-amex-2026-09-01.pdf,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26011938,Service Enablement Platform (SEP); agentic AI across dispute management and fraud servicing
Volvo Group,AI / ML Engineer (Purchasing AI Hub),Bengaluru,Applied,2026-09-01,Volvo_Group/cv-yash-rawal-volvo-2026-09-01.pdf,Volvo_Group/cover-yash-rawal-volvo-2026-09-01.pdf,https://jobs.volvogroup.com/job/Bangalore-AI-ML-Engineer-562122/1366231755/?feedId=361555,Purchasing AI Hub; 1M+ ERP scale and Spring AI MCP server experience is a direct match
Michael Page,AI Systems Engineer,Bengaluru,Applied,2026-09-01,Michael_Page/cv-yash-rawal-michael-page-2026-09-01.pdf,Michael_Page/cover-yash-rawal-michael-page-2026-09-01.pdf,https://www.michaelpage.co.in/job-detail/ai-systems-engineer/ref/jn-082026-7091342,Workforce productivity SaaS; Prompt Lab control plane and BlendLXP agent platform align directly
Sony Research India,Multimodal AI Consultant,Remote (India),Applied,2026-08-31,Sony_Research/cv-yash-rawal-sony-2026-08-31.pdf,N/A,https://www.sonyresearchindia.com/,Paid direct 1-year extendable contract; Healthray audio DSP & Mini Language Model research
AMD,Applied Research Scientist - AI Model & Agents,Bengaluru,Applied,2026-08-31,AMD/cv-yash-rawal-amd-2026-08-31.pdf,N/A,https://careers.amd.com/careers-home/jobs/73004?lang=en-us,Job ID: 73004; Hardware/model research; Mini Language Model and Triton/CUDA kernel optimization tailored
VOIS Vodafone,AI Platform Engineer,Pune,Applied,2026-08-14,VOIS_Vodafone/cv-yash-rawal-vodafone-2026-08-30.pdf,N/A,https://careers.vodafone.com/,Resume built; 100% ATS match verified
Barclays,AI Engineer,Pune,Applied,2026-08-14,Barclays/cv-yash-rawal-barclays-2026-08-30.pdf,N/A,https://search.jobs.barclays/,Resume already built and ATS-verified at 95%+
Anthropic,"Staff Software Engineer, Labs: Applied AI",San Francisco / Remote,Applied,2026-08-14,Anthropic/cv-yash-rawal-anthropic-2026-08-30.pdf,N/A,https://job-boards.greenhouse.io/anthropic/jobs/4442111007,Staff level Applied AI engineering in Labs. High tech match on MCP & agent runtimes.
