company,company_type,industry,role_title,location,exp_total_yrs,exp_ai_yrs,difficulty,difficulty_reason,key_skills,ats_system,interview_rounds,comp_lpa_range,remote_policy,job_url,status,your_match_pct,priority,date_added,notes
Fractal Analytics,Boutique Analytics,Consulting/AI Services,Senior Data Scientist (GenAI),Bengaluru/Mumbai,3-6,1-2,2-Medium,Case study focused; SQL/Python screening + business sense,"Python, RAG, LangChain, SQL, Statistical Modeling",Custom,4,18-28 LPA,Hybrid,https://www.fractal.ai/careers/,Open,85%,High,2026-08-19,Excellent mid-pay target; high demand for GenAI application builders
Tiger Analytics,Boutique Analytics,Consulting/AI Services,Lead Data Scientist - AI/ML,Chennai/Bengaluru,4-7,1-2,2-Medium,Practical coding task + model deployment conceptual evaluation,"Python, PyTorch, LangChain, RAG, MLOps, AWS/Azure",Custom,4,16-25 LPA,Hybrid,https://www.tigeranalytics.com/careers/,Open,82%,High,2026-08-19,Very strong analytics focus; structured onboarding and good work life balance
LTIMindtree,IT Services,Technology Consulting,Specialist Software Engineer (AI/ML),Bengaluru/Pune,3-6,1-2,2-Medium,Standard service company screening; GCP/Azure stack focus,"Python, Cloud AI (Vertex/Azure OpenAI), API Dev, RAG",Workday,3-4,15-24 LPA,Hybrid,https://www.ltimindtree.com/careers/,Open,80%,Medium-High,2026-08-19,Solid mid-tier target; stable GCC client projects
Persistent Systems,IT Services,Product Engineering,Senior Software Engineer (AI/GenAI),Pune/Bengaluru,3-6,1-2,2-Medium,Coding round (Python/SQL) + cloud deployment validation,"Python, LLM Fine-Tuning, AWS Bedrock, Databricks, RAG",Workday,3-4,15-23 LPA,Hybrid,https://www.persistent.com/careers/,Open,80%,Medium-High,2026-08-19,Good engineering-focused services firm; Databricks integration helps
CitiusTech,IT Services,Healthcare IT/AI,AI/ML Engineer - Healthcare Solutions,Mumbai/Bengaluru,2-5,1-2,2-Medium,Healthcare domain screening; NLP and compliance verification,"Python, NLP, RAG, LangChain, Azure, HIPAA Compliance",Custom,3,15-22 LPA,Hybrid,https://www.citiustech.com/careers,Open,82%,High,2026-08-19,Domain match (Healthcare RAG) aligns with your Healthray internship
LatentView Analytics,Boutique Analytics,Consulting/AI Services,Senior Analyst - AI & Data Science,Chennai/Bengaluru,3-5,1-2,2-Medium,SQL/Python test + analytical problem solving evaluation,"Python, SQL, RAG, PyTorch, Data Visualization",Custom,3-4,14-22 LPA,Hybrid,https://www.latentview.com/careers/,Open,78%,Medium,2026-08-19,Pure-play analytics firm; good learning environment for data engineering
Happiest Minds Technologies,IT Services,Digital Transformation,Senior AI Software Engineer,Bengaluru,3-5,1-2,2-Medium,Java/Python coding + GenAI API integration questions,"Python, LangChain, API Development, Azure OpenAI, RAG",Custom,3,14-20 LPA,Hybrid,https://www.happiestminds.com/careers/,Open,82%,High,2026-08-19,Active 0-3 yr GenAI Engineer track; target for 2025/2026 batches
EXL Service,Operations/Analytics,Consulting/AI Services,Lead Consultant - Generative AI,Gurugram/Bengaluru,4-6,1-2,2-Medium,Business case study + LLM API implementation coding,"Python, LangChain, RAG, LLM Finetuning, SQL",Workday,4,16-25 LPA,Hybrid,https://www.exlservice.com/careers,Open,80%,Medium,2026-08-19,Strong in insurance and operations analytics; GenAI push is funded
Genpact,Operations/Analytics,Consulting/AI Services,Lead Consultant - AI Developer,Gurugram/Bengaluru/Hyderabad,4-6,1-2,2-Medium,Client-centric case study + Python screening,"Python, GenAI, RAG, AWS Bedrock, LLMOps",Workday,3-4,15-24 LPA,Hybrid,https://www.genpact.com/careers,Open,78%,Medium,2026-08-19,Large operations firm; massive internal upskilling and client projects
Capgemini India,IT Services,Technology Consulting,AI/ML Engineer - GenAI CoE,Bengaluru/Hyderabad/Mumbai,3-6,1-2,2-Medium,Technical screening on transformers + coding round,"Python, PyTorch, LangChain, LLM APIs, Azure, Docker",Taleo,3-4,15-22 LPA,Hybrid,https://www.capgemini.com/in-en/careers/,Open,82%,Medium,2026-08-19,GenAI Center of Excellence provides good exposure to modern stacks
HCLTech,IT Services,Technology Consulting,Senior AI Developer,Noida/Bengaluru,3-6,1-2,2-Medium,Standard service company screening; low bar for entry SDEs,"Python, SQL, RAG, prompt engineering, Azure/AWS",Custom,3,14-22 LPA,Hybrid,https://www.hcltech.com/careers,Open,80%,Low-Medium,2026-08-19,Noida base is close to Delhi NCR; compensation is standard
Tech Mahindra,IT Services,Technology Consulting,AI/ML Specialist,Pune/Bengaluru,4-6,1-2,2-Medium,Fast technical screening; focus on telecom/retail use cases,"Python, LLM, RAG, LangChain, API integration, cloud",Custom,3,14-20 LPA,Hybrid,https://www.techmahindra.com/en-in/careers/,Open,78%,Low-Medium,2026-08-19,Telecommunication domain AI focus; easy entry point
Coforge,IT Services,Technology Consulting,Senior AI SDE,Noida/Bengaluru,3-5,1-2,2-Medium,Core programming test + client project evaluation,"Python, RAG, LangChain, LLM APIs, SQL, Docker",Custom,3,14-22 LPA,Hybrid,https://www.coforge.com/careers,Open,82%,Medium,2026-08-19,Particularly strong in BFSI and Travel domains; Noida/Greater Noida base
Virtusa,IT Services,Technology Consulting,Associate Consultant - AI/ML,Bengaluru/Hyderabad,3-5,1-2,2-Medium,Standard coding round + technical conversation,"Python, AWS/Azure, RAG, prompt engineering, REST APIs",Workday,3,14-21 LPA,Hybrid,https://www.virtusa.com/careers,Open,80%,Medium-Low,2026-08-19,Banking/financial services client focus
Sigmoid,Boutique Analytics,Consulting/AI Services,Senior AI Engineer,Bengaluru,3-5,1-2,2-Medium,Data engineering + ML scaling technical interview,"Python, PySpark, Databricks, LLMs, RAG, SQL",Custom,3-4,16-25 LPA,Hybrid,https://www.sigmoid.com/careers/,Open,80%,Medium-High,2026-08-19,Strong engineering DNA; good focus on MLOps and Big Data
Affine Analytics,Boutique Analytics,Consulting/AI Services,Senior AI Specialist,Bengaluru,3-5,1-2,2-Medium,Technical screening + Python coding evaluation,"Python, SQL, RAG, deep learning, PyTorch",Custom,3,15-22 LPA,Hybrid,https://affine.ai/careers/,Open,78%,Medium,2026-08-19,Niche analytics firm with industrial and retail focus
Zensar Technologies,IT Services,Technology Consulting,Senior AI Developer,Pune/Bengaluru,3-5,1-2,2-Medium,Standard service company screening; API and cloud questions,"Python, AWS/Azure, RAG, prompt engineering, FastAPI",Custom,3,13-19 LPA,Hybrid,https://www.zensar.com/careers,Open,80%,Low-Medium,2026-08-19,Stable service firm; good for scaling up basic GenAI skills
KPIT Technologies,IT Services,Automotive/AI,AI/ML Engineer - Automotive Data,Pune/Bengaluru,3-6,1-2,3-Hard,Automotive sensors/embedded AI evaluation; C++ advantage,"Python, C++, deep learning, computer vision, sensor data",Custom,4,15-24 LPA,Hybrid,https://www.kpit.com/careers/,Open,60%,Low,2026-08-19,Automotive engineering focus; different stack (C++ CV) than your agents
Intellect Design Arena,Product,BFSI FinTech,AI Platform Engineer (eXchange),Chennai/Mumbai,3-5,1-2,3-Hard,Financial product architecture; high performance transactional AI,"Python, RAG, NLP, banking APIs, microservices",Custom,4,16-25 LPA,Hybrid,https://www.intellectdesign.com/careers/,Open,78%,Medium-High,2026-08-19,BFSI-focused product company; good domain overlap with ERP work
Kapture CX,Product/SaaS,Customer Experience,Senior AI/ML Applications Engineer,Bengaluru,4-8,1-2,2-Medium,SaaS coding task + LLM application design,"Python, RAG, LangChain, LangGraph, FastAPI, Kubernetes",Custom (Keka),3-4,18-30 LPA,Hybrid,https://kapture.cx/,Open,85%,High,2026-08-19,Fast-growing CX SaaS; exact match for agentic customer support workflows
Isarva Infotech,IT Services,Technology Consulting,Senior Software Developer (AI/ML),Mangaluru,5+,1-2,2-Medium,OOP Python test + LLM integration concepts,"Python, FastAPI, RAG, LangGraph, SmolAgents, Docker",Custom,3,15-28 LPA,Remote,https://isarvait.com/,Open,82%,High,2026-08-19,Remote-first agency; explicitly hiring for LangGraph & SmolAgents
3Pillar Global,Product Consulting,Technology Consulting,Senior AI/ML Engineer,Noida,3-7,1-2,2-Medium,Product mindset review + coding + cloud design,"Python, LangChain, RAG, LLMs, AWS/Azure/GCP",Custom,3-4,18-28 LPA,Hybrid,https://www.3pillarglobal.com/careers/,Open,82%,High,2026-08-19,Noida Sector 62; recognized product engineering firm with great culture
Partex.ai,Product/Pharma,Healthcare/Biotech,AI Engineer / Data Scientist,Pune,2-4,1-2,3-Hard,IIT alumni standards; biomedical data case evaluation,"Python, LangGraph, RAG, PyTorch, AWS Bedrock",Custom,3-4,16-26 LPA,Onsite,https://www.partex.ai/,Open,85%,High,2026-08-19,Hinjewadi Pune office; drug discovery AI; healthray data experience fits well
Selector AI,Product/Startup,AIOps/Network Tech,Software Engineer (Platform/AIOps),Bengaluru,2-5,1-2,3-Hard,Kubernetes/Cloud system design + Go/Python test,"Python, Go, Kubernetes, Docker, Terraform, AIOps",Custom,4,22-35 LPA,Hybrid,https://selector.ai/,Open,80%,High,2026-08-19,Series B funded; good for backend engineering & AIOps pipelines
FanTV,Startup,Media/Web3,Software Engineer (GenAI),Noida,2-6,1-2,2-Medium,Startup technical test + latency optimization concepts,"Python, Node.js, LLMs, Text-to-Music, Web3",Custom,3,16-30 LPA,Hybrid,https://fantv.world/,Open,75%,Medium-High,2026-08-19,Noida office; Krafton-backed; ex-Gaana CEO; media generation focus
